id,name,num_bedrooms,bedroom_type,num_of_beds,num_of_bathrooms,bathroom_type,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21973105,Rental unit in Brooklyn ,1,bedroom,1,2,shared,Eugene,Brooklyn,Flatbush,40.64956,-73.95461,Private room,36,90,2,12/31/2020,0.05,589,35,0,
46150727,Rental unit in Brooklyn ,1,bedroom,1,2,shared,Eugene,Brooklyn,Park Slope,40.66938,-73.98165,Private room,38,90,1,12/31/2020,0.03,589,188,0,
25296394,Rental unit in Bronx,1,bedroom,1,1.5,baths,Christopher,Bronx,Pelham Bay,40.85496,-73.82958,Entire home/apt,195,30,5,12/30/2020,0.08,2,363,0,
41998534,Rental unit in Brooklyn,2,bedrooms,2,1.5,baths,Barrie,Brooklyn,South Slope,40.66251,-73.98298,Entire home/apt,350,30,6,12/29/2020,0.13,1,178,0,
46498576,Rental unit in New York ,2,bedrooms,2,2,baths,Blueground,Manhattan,Midtown,40.7604361,-73.968523,Entire home/apt,400,31,1,12/29/2020,0.03,713,179,0,
21378053,Place to stay in New York,1,bedroom,2,1,bath,Stanley,Manhattan,Murray Hill,40.75037,-73.9775,Entire home/apt,140,30,4,12/28/2020,0.05,83,365,0,
46097574,Rental unit in New York ,1,bedroom,1,1,bath,Marc,Manhattan,Financial District,40.70604,-74.00925,Entire home/apt,192,30,2,12/28/2020,0.05,1,0,0,
35783522,Rental unit in Brooklyn ,1,bedroom,1,1,bath,Dan,Brooklyn,Midwood,40.6167,-73.96067,Entire home/apt,95,30,2,12/27/2020,0.04,2,0,0,
13926702,Rental unit in New York,1,bedroom,2,1,bath,George Steven,Manhattan,Upper West Side,40.78371,-73.97595,Entire home/apt,149,30,21,12/25/2020,0.24,8,4,0,
46676759,Rental unit in Queens ,1,bedroom,1,1,private,Amanda,Queens,Jackson Heights,40.74937,-73.87767,Private room,55,365,2,12/25/2020,0.05,1,0,0,
36139806,Rental unit in Queens,2,bedrooms,1,1,bath,Lotay,Queens,Jackson Heights,40.75242,-73.86965,Entire home/apt,57,30,30,12/24/2020,0.55,5,0,0,
46877998,Rental unit in Brooklyn ,1,bedroom,1,1,bath,Marina,Brooklyn,Bushwick,40.68891,-73.91359,Private room,40,30,2,12/24/2020,0.05,1,0,0,
36240195,Boutique hotel in New York ,1,bedroom,1,1,private,An Artful Hotel,Manhattan,Hell's Kitchen,40.75436,-73.99391,Private room,276,1,1,12/23/2020,0.03,18,57,0,Exempt
17257339,Home in Staten Island,1,bedroom,3,2,baths,Paul,Staten Island,St. George,40.6456,-74.08069,Entire home/apt,150,30,82,12/20/2020,1.01,1,125,0,
42717193,Rental unit in New York,1,bedroom,1,1,bath,George,Manhattan,Financial District,40.70619,-74.01022,Entire home/apt,289,30,19,12/20/2020,0.41,1,0,0,
11341728,Rental unit in New York,1, Studio ,1,1,bath,Jeniffer,Manhattan,Little Italy,40.71899,-73.99773,Entire home/apt,120,30,4,12/19/2020,0.05,139,365,0,
268335,Condo in Brooklyn ,1,bedroom,1,1,bath,Herman,Brooklyn,Williamsburg,40.72136,-73.95674,Entire home/apt,150,60,1,12/19/2020,0.03,2,188,0,
45492397,Rental unit in New York ,1,bedroom,1,1,bath,Furnished Quarters,Manhattan,Financial District,40.70486,-74.00996,Entire home/apt,225,30,1,12/18/2020,0.03,164,358,0,
43319281,Rental unit in New York,1,bedroom,1,1,bath,Angelo,Manhattan,SoHo,40.72612,-74.00002,Entire home/apt,169,30,7,12/13/2020,0.17,1,0,0,
29828445,Rental unit in New York,1,bedroom,1,1,bath,Yunuen,Manhattan,Battery Park City,40.70886,-74.01596,Entire home/apt,120,30,9,12/13/2020,0.14,2,0,0,
20832523,Rental unit in Bronx,1,bedroom,1,1,shared,Bonissat,Bronx,Concourse,40.83451,-73.91881,Private room,32,30,54,12/12/2020,0.82,1,0,0,
2876055,Rental unit in Brooklyn,1,bedroom,1,1,shared,Kells,Brooklyn,Williamsburg,40.71381,-73.94052,Private room,100,30,68,12/12/2020,0.64,2,0,0,
4738429,Home in Bronx,1,bedroom,2,1,private,Carol Gloria,Bronx,Clason Point,40.81215,-73.85503,Private room,121,30,18,12/12/2020,0.21,6,0,0,
42202440,Rental unit in New York,3,bedrooms,3,1,bath,Roger,Manhattan,Hell's Kitchen,40.75374,-73.9926,Entire home/apt,400,30,4,12/12/2020,0.09,2,0,0,
36819630,Rental unit in Brooklyn,1,bedroom,1,1,bath,Claire,Brooklyn,Red Hook,40.67673,-74.00194,Entire home/apt,84,30,4,12/12/2020,0.08,1,0,0,
467634,Home in Jamaica,1,bedroom,3,1,shared,Lloyd,Queens,Jamaica,40.67595,-73.76463,Shared room,39,30,478,12/11/2020,3.39,1,364,0,
20209878,Rental unit in Brooklyn,3,bedrooms,4,1,bath,Alexandra,Brooklyn,Crown Heights,40.67532,-73.94171,Entire home/apt,135,30,80,12/11/2020,1.08,1,258,0,
27519196,Rental unit in Queens,1,bedroom,2,1,bath,Miranda,Queens,Bayside,40.76753,-73.76249,Entire home/apt,101,30,14,12/9/2020,0.22,1,179,0,
43112861,Rental unit in New York,1,bedroom,2,1,bath,Jerry & Lynn,Manhattan,Midtown,40.75575,-73.96809,Entire home/apt,179,30,3,12/6/2020,0.08,12,56,0,
32618577,Townhouse in Brooklyn,1,bedroom,1,2,shared,Aminul,Brooklyn,East New York,40.66771,-73.89566,Private room,33,30,16,12/5/2020,0.27,9,165,0,
43536394,Home in New York ,1,bedroom,1,1,shared,Tessa,Queens,Ridgewood,40.70873,-73.90072,Private room,60,30,2,12/5/2020,0.05,2,0,0,
18793922,Rental unit in New York ,3,bedrooms,3,2,baths,Inna,Manhattan,Harlem,40.8020449,-73.9553153,Entire home/apt,152,30,1,12/5/2020,0.03,44,271,0,
29963575,Guest suite in Queens,1,bedroom,1,1,shared,Valentine,Queens,Rosedale,40.65679,-73.72956,Private room,55,30,112,12/4/2020,1.82,2,4,0,
46640265,Rental unit in New York ,1,bedroom,2,1,bath,Jerry & Lynn,Manhattan,Midtown,40.75686,-73.96979,Entire home/apt,170,30,2,12/3/2020,0.05,12,58,0,
45782880,Rental unit in New York ,4,bedrooms,4,1,bath,Roger,Manhattan,Hell's Kitchen,40.75512,-73.99137,Entire home/apt,500,30,1,12/3/2020,0.03,2,0,0,
